,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
39,constantinople,emperor,long,public,arabian,war,public,reason,human,nations,people,policy,spain,michael,greek,faith,city,laws,emperor,arms,italy,empire,history,freedom,royal
40,roman,persecution,provinces,soldiers,religion,city,human,superstition,julian,roman,rosamond,constantine,britons,second,thousand,ephesus,triumph,years,philip,fleet,people,people,war,st,st
41,years,bishop,arms,general,medina,antioch,great,christian,world,cities,state,rome,people,daughter,latins,egypt,aurelian,private,day,goths,clovis,augustus,carthage,italy,silver
42,language,ecclesiastical,life,arms,saracens,boursa,people,christians,mind,barbarians,waters,civil,empire,family,constantinople,constantinople,carus,gepidae,church,country,theodoric,constantine,son,laws,throne
43,italy,religion,war,soon,arabs,barbarians,power,divine,character,war,strength,military,province,title,greeks,emperor,emperor,country,thy,constantinople,roman,title,people,public,egypt
44,latin,zeal,power,roman,caliph,thousand,military,church,reign,sea,caspian,emperor,roman,constantinople,asia,alexandria,senate,romans,age,siege,huns,equal,emperor,romans,palace
45,princes,clergy,age,death,thousand,aurelian,ancient,worship,nature,great,shiracouh,empire,british,father,holy,chalcedon,carinus,marriage,city,miles,barbarians,rienzi,roman,senate,constantinople
46,greeks,christian,barbarians,troops,mecca,thy,rome,christ,public,arms,phasis,peace,provinces,years,jerusalem,nestorius,power,senate,people,thousand,attila,tribune,reign,roman,years
47,age,bishops,empire,army,god,timour,use,god,empire,empire,hand,roman,gaul,andronicus,turks,cyril,people,roman,death,sea,franks,throne,years,city,city
48,greek,christians,roman,war,prophet,probus,nature,religion,life,country,alexandria,war,saxons,emperor,turkish,patriarch,roman,alboin,st,walls,gaul,emperor,empire,people,gold
49,empire,church,emperor,emperor,mahomet,bajazet,roman,faith,age,thousand,egypt,barbarians,britain,son,sultan,synod,rome,people,holy,city,king,great,vandals,rome,thousand
