,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
27,homer,title,pride,long,koreish,cavalry,arms,new,faith,huns,bow,state,order,brothers,son,empire,victory,famine,day,private,reign,multitude,arts,empire,arabs,passions,state,barbarians,consisted,ancient,head,palace,long,heresy,event,kings,germany,soon,service,egypt,christians,prince,revived,country,father,death,happiness,prince,avarice,ditch
28,genius,bishops,glory,provinces,said,great,world,zeal,laws,province,sclavonians,shall,care,roman,seven,attempted,innocence,subjects,long,miles,emperor,alps,power,guilt,till,general,war,feet,years,character,victory,nicephorus,decay,pope,soldiers,land,new,barbarians,apulia,constantine,millions,years,east,greek,away,life,philosophic,palace,camp,france
29,native,jurisdiction,provinces,east,caled,goths,equal,son,christianity,conquest,religion,great,greek,imperial,beauty,blue,age,visigoths,christ,provinces,prince,equal,hands,pounds,roman,reign,affected,various,historian,distant,king,sons,romans,holy,military,knights,spirit,long,duke,number,cross,successor,fortune,samarcand,religion,god,philosophy,theodosius,greeks,general
30,state,freedom,age,sapor,faithful,strength,spain,visible,virtue,asia,nation,germans,italy,union,gaul,danger,blood,arms,feet,palace,peter,throne,roman,according,pieces,roman,inferior,belisarius,military,independent,death,russia,edifices,st,accepted,cross,allies,times,counts,bavaria,empire,earth,birth,blood,hand,sentence,time,military,egypt,french
31,names,ancient,east,monarch,abu,germany,government,disciples,age,soon,distinction,courage,julian,elder,long,power,tyrant,avitus,years,italy,language,reign,turks,proportion,abbassides,people,divine,important,city,emperors,people,second,works,catholics,life,memorable,general,present,crusade,christian,eyes,lombards,received,constantinople,trebizond,penance,history,war,hands,days
32,europe,clergy,liberal,death,omar,valour,public,christians,superstition,city,severus,life,britons,crispus,marriage,new,natural,justinian,athos,emperor,person,emperors,merit,property,royal,byzantine,cause,soldiers,seven,drave,army,borysthenes,st,emperor,sign,genius,constantius,germany,emperor,magnificent,rome,person,use,age,cause,tyrant,world,rome,images,cannon
33,spirit,italy,private,empire,syria,danube,country,human,public,danube,public,authority,st,grandson,women,blood,death,gaul,place,naples,long,world,italy,abuse,asia,character,italy,fritigern,constantine,mursa,enemy,days,century,zeal,libanius,italy,roman,men,son,roman,received,power,power,chief,soon,prefect,alexander,provinces,people,army
34,study,emperors,light,throne,damascus,emperor,civil,nature,mind,fleet,war,modern,nobles,eldest,condemned,public,trial,thousand,world,hand,rome,republic,constantine,lands,europe,industry,life,corn,rome,carausius,days,comet,years,ecclesiastical,constantius,science,monarch,distinguished,pilgrims,legions,soon,imperial,long,empire,throne,palace,mind,son,country,constantinople
35,years,romans,shall,chosroes,ali,body,arts,gospel,julian,goths,armour,arms,new,andronicus,death,tribune,citizens,combat,mind,empire,years,colonna,people,new,sea,vataces,spirit,malabar,public,rendered,camp,emperor,senate,monks,cross,country,thousand,public,knights,rome,power,revenge,noureddin,persia,soldiers,reign,reign,soldiers,romans,thirty
36,princes,ecclesiastical,royal,soon,arabian,near,private,spiritual,divine,coast,empire,manners,pertinax,title,man,gregory,long,people,god,antioch,master,italy,father,houses,arabian,human,roman,roman,cities,reign,troops,father,antiquity,churches,court,second,soon,liberty,thousand,obtained,capital,ambrose,jews,companions,place,exile,genius,army,voice,day
37,world,christians,reign,treaty,religion,war,great,divine,devotion,great,people,asia,roman,empire,prince,people,marriage,barbarian,death,public,charles,princes,character,romans,constantinople,subjects,duty,empire,people,defended,years,theodora,walls,alexandria,christian,years,quadi,state,kingdom,senate,africa,milan,family,general,age,empire,virtues,life,leo,war
38,empire,civil,spirit,roman,apostle,army,age,images,mankind,italy,age,nations,theodosius,second,religion,provinces,bishop,king,hermit,people,people,senate,history,value,caliphs,science,world,people,state,power,empire,life,columns,east,years,brienne,sarmatians,spirit,sword,amphitheatre,gaul,church,clergy,shall,years,constantinople,plato,troops,thousand,danger
39,tongue,senate,virtues,julian,koran,romans,military,doctrine,worship,roman,character,roman,emperor,age,foreign,roman,rome,romans,light,goths,st,silk,war,christians,tribute,national,soldiers,arms,reign,various,palace,constantinople,baths,catholic,just,great,britain,rome,robert,provinces,age,son,father,cities,greeks,empress,human,empire,arms,attack
40,ancient,magistrates,enemies,romans,arabs,legions,use,years,church,provinces,manners,private,province,emperor,god,death,public,franks,count,age,ambassadors,pope,new,lombards,throne,years,mind,inhabitants,war,syagrius,justinian,mother,empire,council,antioch,germany,danube,manners,arms,stones,roman,claudian,religion,moguls,life,milan,virtue,constantine,emperor,soon
41,age,authority,theodosius,army,moslems,roman,life,reason,life,war,weapons,policy,citizens,marriage,world,arms,spiritual,italy,lance,general,gepidae,king,age,public,mahomet,arms,senate,soon,establishment,province,greeks,years,time,greeks,age,war,barbarians,nobles,barons,placidia,years,palace,people,arms,public,ambrose,knowledge,senate,danger,troops
42,learning,empire,empire,arms,saracens,rhine,human,law,human,cities,use,civil,gaul,sons,barbarians,senate,roman,narses,mount,barbarians,nations,soon,world,use,empire,single,people,city,new,great,war,death,senators,orthodox,empire,princes,emperor,human,princes,great,egypt,hunneric,holy,people,palaeologus,people,merit,imperial,orestes,siege
43,science,power,mind,persia,medina,arms,nature,church,nature,arms,colchos,general,britain,years,reginald,severus,character,ravenna,thy,roman,huns,roman,death,gold,turkish,manners,prepared,multitude,men,barbarians,prince,geta,ancient,patriarch,thousand,france,people,slaves,pope,christians,great,death,rome,war,constantinople,public,tacitus,soon,bishop,battle
44,italy,government,merit,peace,thousand,probus,law,jews,gods,miles,diocletian,military,saxons,younger,germans,trajan,people,barbarians,people,thousand,roman,petrarch,public,provinces,caliph,emulation,soon,goths,roman,romans,gold,kiow,roman,faith,sovereign,new,serapis,laws,king,empire,public,italy,senate,roman,phranza,church,years,general,years,country
45,roman,laws,character,barbarians,caliph,battle,rome,worship,world,empire,soldiers,war,barbarians,family,wives,long,emperor,totila,church,time,lombards,rome,son,nature,years,greeks,military,gates,number,goths,city,son,temple,clergy,religion,holy,arms,freedom,count,power,holy,rosamond,public,city,constantine,justinian,empire,people,constantinople,towers
46,knowledge,people,roman,war,mecca,troops,empire,religion,religious,thousand,roman,empire,people,daughter,domestic,emperor,romans,roman,europe,new,clovis,people,empire,laws,gold,merit,julian,public,ancient,country,arms,reign,monuments,constantinople,belisarius,saxons,provinces,tribes,holy,galerius,country,people,son,mogul,son,years,age,public,church,arms
47,language,roman,thousand,persian,god,alemanni,subjects,god,christian,country,discipline,tribes,thousand,father,years,rome,state,gothic,peter,rome,franks,tribune,emperor,roman,egypt,freedom,service,country,great,useful,constantinople,caracalla,marble,synod,constantine,hungarians,war,people,normans,coliseum,city,throne,city,bajazet,city,archbishop,roman,death,death,city
48,latin,church,emperor,emperor,prophet,aurelian,people,christ,religion,barbarians,military,rome,public,constantine,prophet,claudius,palaeologus,theodoric,st,country,attila,capitol,years,city,sultan,constantinople,empire,thousand,empire,roman,thousand,russian,city,church,emperor,otho,country,roman,french,general,thousand,alboin,jerusalem,thousand,cantacuzene,theodora,rome,roman,city,walls
49,greek,rome,justinian,king,mahomet,barbarians,roman,faith,christians,sea,phasis,barbarians,rome,son,mahomet,niger,father,goths,holy,city,king,rienzi,reign,rome,thousand,empire,public,rome,thousand,empire,emperor,russians,rome,bishops,julian,age,gaul,country,france,country,emperor,emperor,emperor,timour,emperor,emperor,life,emperor,attila,thousand
